SportCode,SportCategoryCode,SportTournamentCode,BetLimitFactor
31,259,47417,5
31,259,47418,5
31,259,47419,5
31,259,47422,5
31,259,47451,5
31,259,47452,5
31,259,47453,5
31,259,47454,5
31,259,47455,5
31,259,47517,5
31,259,47518,5
31,259,47519,5
31,259,47520,5
31,259,47521,5
31,259,47522,5
31,259,47523,5
31,259,47524,5
31,259,47525,5
31,259,47526,5
31,259,47546,5
31,259,47547,5
31,259,47548,5
31,259,47549,5
31,259,47550,5
31,259,47561,5
31,259,47562,5
31,259,47563,5
31,259,47564,5
31,259,47565,5
31,259,47566,5
31,259,47569,5
31,259,47626,5
31,259,47627,5
31,259,47628,5
31,259,47629,5
31,259,47630,5
31,259,47631,5
31,259,47632,5
31,259,47633,5
31,259,47634,5
31,259,47635,5
31,259,47685,5
31,259,47686,5
31,259,47687,5
31,259,47688,5
31,259,47689,5
31,259,47690,5
31,259,47692,5
31,259,47693,5
31,259,47701,5
31,259,47702,5
31,259,47703,5
31,259,47704,5
31,259,47705,5
31,259,47753,5
31,259,47754,5
31,259,47755,5
31,259,47756,5
31,259,47757,5
31,259,47759,5
31,259,47761,5
31,259,47788,5
31,259,47789,5
31,259,47790,5
31,259,47791,5
31,259,47792,5
31,259,47798,5
31,259,47799,5
31,259,47800,5
31,259,47801,5
31,259,47802,5
31,259,47803,5
31,259,47804,5
31,259,47805,5
31,259,47806,5
31,259,47807,5
31,259,47808,5
31,259,47809,5
31,259,47810,5
31,259,47811,5
31,259,47812,5
31,259,47813,5
31,259,47814,5
31,259,47815,5
31,259,47816,5
31,259,47817,5
31,259,47818,5
31,259,47819,5
31,259,47820,5
31,259,47821,5
31,259,47822,5
31,259,47823,5
31,259,47826,5
31,259,48067,5
31,259,48068,5
31,259,48069,5
31,259,48070,5
31,259,48071,5
31,259,48086,5
31,259,48087,5
31,259,48088,5
31,259,48089,5
31,259,48090,5
31,259,48392,5
31,259,48394,5
31,259,48396,5
31,259,48398,5
31,259,48399,5
31,259,48401,5
31,259,48404,5
31,259,48406,5
31,259,48409,5
31,259,48411,5
31,259,48415,5
31,259,48417,5
31,259,48418,5
31,259,48419,5
31,259,48420,5
31,259,49040,5
31,259,49041,5
31,259,49042,5
31,259,49043,5
31,259,49044,5
31,259,49878,5
31,259,49879,5
31,259,49880,5
31,259,49881,5
31,259,49882,5
31,259,49883,5
31,259,49884,5
31,259,49885,5
31,259,49886,5
31,259,49887,5
31,259,49889,5
31,259,49890,5
31,259,49891,5
31,259,49892,5
31,259,49893,5
31,259,49935,5
31,259,49936,5
31,259,49937,5
31,259,49938,5
31,259,49939,5
31,259,49940,5
31,259,49941,5
31,259,49942,5
31,259,49943,5
31,259,49944,5
31,259,49997,5
31,259,49998,5
31,259,49999,5
31,259,50000,5
31,259,50001,5
31,259,50137,5
31,259,50138,5
31,259,50139,5
31,259,50140,5
31,259,50141,5
31,259,50142,5
31,259,50143,5
31,259,50144,5
31,259,50145,5
31,259,50221,5
31,259,50222,5
31,259,50226,5
31,259,50227,5
31,259,50234,5
31,259,50235,5
31,259,50236,5
31,259,50237,5
31,259,50248,5
31,259,50249,5
31,259,50250,5
31,259,50251,5
31,259,50324,5
31,259,50325,5
31,259,50326,5
31,259,50327,5
31,259,50328,5
31,259,50710,5
31,259,50711,5
31,259,50712,5
31,259,50713,5
31,259,50714,5
31,259,50715,5
31,259,50716,5
31,259,50717,5
31,259,50718,5
31,259,50719,5
31,259,50722,5
31,259,50723,5
31,259,50724,5
31,259,50725,5
31,259,50726,5
31,259,50748,5
31,259,50749,5
31,259,50750,5
31,259,50751,5
31,259,50752,5
31,259,50753,5
31,259,50754,5
31,259,50755,5
31,259,50756,5
31,259,50757,5
31,259,50762,5
31,259,50763,5
31,259,50764,5
31,259,50765,5
31,259,50766,5
31,259,50826,5
31,259,50827,5
31,259,50828,5
31,259,50829,5
31,259,50830,5
31,259,50831,5
31,259,50832,5
31,259,50834,5
31,259,50864,5
31,259,50865,5
